,PmtNo,BuyersPrice,SellersPrice,PNL,Rev,Exp,MtgBegBal,MtgPrinPaid,MtgIntPaid,MtgPrinArr,MtgIntArr,MtgEndBal,ArrBegBal,ArrAdded,ArrPaid,ArrForgiven,ArrEndBal,FinCost,DDCost,AcqCost,ServCost,FCCost,RehabCost,BK13Cost,SalesCommission,FirstLienPmt,AmortBegBal,AmortPrinDue,AmortIntDue,AmortEndBal
2022-09-01,58,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26698.624713645462,39.123797141131945,406.47620285899336,26659.50091650433
2022-10-01,59,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26659.50091650433,39.719441773537255,405.8805582265856,26619.781474730793
2022-11-01,60,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26619.781474730793,40.32415486437094,405.2758451357448,26579.457319866422
2022-12-01,61,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26579.457319866422,40.93807447740255,404.66192552270985,26538.51924538902
2023-01-01,62,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26538.51924538902,41.561340778367594,404.0386592217521,26496.957904610652
2023-02-01,63,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26496.957904610652,42.19409606694535,403.40590393317405,26454.763808543707
2023-03-01,64,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26454.763808543707,42.83648480930424,402.76351519082084,26411.927323734402
2023-04-01,65,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26411.927323734402,43.48865367101098,402.11134632909614,26368.43867006339
2023-05-01,66,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26368.43867006339,44.15075155063823,401.44924844947735,26324.287918512753
2023-06-01,67,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26324.287918512753,44.82292961360508,400.77707038651886,26279.464988899148
2023-07-01,68,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26279.464988899148,45.50534132676694,400.0946586733401,26233.95964757238
2023-08-01,69,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26233.95964757238,46.198142493543855,399.4018575065874,26187.761505078837
2023-09-01,70,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26187.761505078837,46.901491289245314,398.6985087108602,26140.860013789592
2023-10-01,71,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26140.860013789592,47.615548297522764,397.98445170260044,26093.24446549207
2023-11-01,72,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26093.24446549207,48.34047654669121,397.2595234534261,26044.903988945378
2023-12-01,73,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26044.903988945378,49.07644154720765,396.52355845291237,25995.82754739817
